1	1	350	403	1	350	403	14	90	14,01
2	1	350	411	1	350	411	14	90	14,2
3	1	350	421	1	350	421	14	90	14,35
4	1	363	411	1	363	411	14	90	183,0228607
1	2	345,3333333	403	1	345,3333333	403	14	90	14,01
2	2	345,3333333	411	1	345,3333333	411	14,15	90	14,2
3	2	345,3333333	421	1	345,3333333	421	14,25	90	14,35
4	2	358,3333333	411	1	358,3333333	411	14	90	183,5260742
1	3	340,6666667	403	1	340,6666667	403	14	90	14,01
2	3	340,6166667	411	1	340,6166667	411	14,3	90	14,2
3	3	340,5833333	421	1	340,5833333	421	14,5	90	14,35
4	3	353,6666667	411	1	353,6666667	411	14	90	183,0146941
1	4	336	403	1	336	403	14	90	14,01
2	4	335,85	411	1	335,85	411	14,45	90	14,2
3	4	335,75	421	1	335,75	421	14,75	90	14,35
4	4	349	411	1	349	411	14	90	184,5229095
1	5	331,3333333	403	1	331,3333333	403	14	90	14,01
2	5	331,0333333	411	1	331,0333333	411	14,6	90	14,2
3	5	330,8333333	421	1	330,8333333	421	15	90	14,35
4	5	344,3333333	411	1	344,3333333	411	14	90	183,6405278
1	6	326,6666667	403	1	326,6666667	403	14	90	14,01
2	6	326,1666667	411	1	326,1666667	411	14,75	90	14,2
3	6	325,8333333	421	1	325,8333333	421	15,25	90	14,35
4	6	339,6666667	411	1	339,6666667	411	14	90	182,6602665
1	7	322	403	1	322	403	14	90	14,01
2	7	321,25	411	1	321,25	411	14,9	90	14,2
3	7	320,75	421	1	320,75	421	15,5	90	14,35
4	7	335	411	1	335	411	14	90	182,0698933
1	8	317,3333333	403	1	317,3333333	403	14	90	14,01
2	8	316,2833333	411	1	316,2833333	411	15,05	90	14,2
3	8	315,5833333	421	1	315,5833333	421	15,75	90	14,35
4	8	330,3333333	411	1	330,3333333	411	14	90	184,1298728
1	9	312,6666667	403	1	312,6666667	403	13,5	90	14,01
2	9	311,2666667	411	1	311,2666667	411	15,2	90	14,2
3	9	310,3333333	421	1	310,3333333	421	16	90	14,35
4	9	325,6666667	411	1	325,6666667	411	14	90	184,5343265
1	10	308,1666667	403	1	308,1666667	403	13,5	90	14,01
2	10	306,2	411	1	306,2	411	15,2	90	14,2
3	10	305	421	1	305	421	16	90	14,35
4	10	321	411	1	321	411	14,5	90	184,9202679
1	11	303,6666667	403	1	303,6666667	403	13,5	90	14,01
2	11	301,1333333	411	1	301,1333333	411	15,2	90	14,2
3	11	299,6666667	421	1	299,6666667	421	16	90	14,35
4	11	316,1666667	411	1	316,1666667	411	14,5	90	184,1289031
1	12	299,1666667	403	1	299,1666667	403	13,5	90	14,01
2	12	296,0666667	411	1	296,0666667	411	15,2	90	14,2
3	12	294,3333333	421	1	294,3333333	421	16	90	14,35
4	12	311,3333333	411	1	311,3333333	411	14,5	90	183,0171322
1	13	294,6666667	403	1	294,6666667	403	13,5	90	14,01
2	13	291	411	1	291	411	15,2	90	14,2
3	13	289	421	1	289	421	16	90	14,35
4	13	306,5	411	1	306,5	411	14,5	90	184,2779463
1	14	290,1666667	403	1	290,1666667	403	13,5	90	14,01
2	14	285,9333333	411	1	285,9333333	411	15,2	90	14,2
3	14	283,6666667	421	1	283,6666667	421	16	90	14,35
4	14	301,6666667	411	1	301,6666667	411	14,5	90	182,2266259
1	15	283,4166667	402,5	1	283,4166667	402,5	5	105	14,01
2	15	278,3333333	410,2	1	278,3333333	410,2	7	105	14,2
3	15	275,6666667	419,5	1	275,6666667	419,5	10	105	14,35
4	15	294,4166667	410,9	1	294,4166667	410,9	11	105	182,9867835
1	16	280,9166667	402	1	280,9166667	402	5	120	14,01
2	16	274,8333333	409,4	1	274,8333333	409,4	7	120	14,2
3	16	270,6666667	418	1	270,6666667	418	10	120	14,35
4	16	288,9166667	410,8	1	288,9166667	410,8	11	120	182,9983885
1	17	278,4166667	401,5	1	278,4166667	401,5	5	135	14,01
2	17	271,3333333	408,6	1	271,3333333	408,6	7	135	14,2
3	17	265,6666667	416,5	1	265,6666667	416,5	10	135	14,35
4	17	283,4166667	410,7	1	283,4166667	410,7	11	135	184,9485696
1	18	275,9166667	401	1	275,9166667	401	5	150	14,01
2	18	267,8333333	407,8	1	267,8333333	407,8	7	150	14,2
3	18	260,6666667	415	1	260,6666667	415	10	135	14,35
4	18	277,9166667	410,6	1	277,9166667	410,6	5	150	184,6585769
1	19	273,4166667	400,5	1	273,4166667	400,5	5	165	14,01
